timestamp,prey(t),predator(t)
0.0,10.0,5.0
10.0,16.999999999999982,5.0
20.0,23.999999999999893,5.0
20.202040965734746,24.141428676014318,5.0
30.0,30.999999999999996,5.0
40.0,38.0,5.0
50.0,45.0,5.0
60.0,52.00000000000002,5.0
70.0,59.00000000000005,5.0
80.0,65.99999999999999,5.0
90.0,73.00000000000001,5.0
100.0,79.99999999999991,5.0
110.0,86.99999999999994,5.0
120.0,93.9999999999999,5.0
130.0,100.99999999999999,5.0
140.0,108.0000000000001,5.0
150.0,114.99999999999983,5.0
160.0,121.99999999999977,5.0
170.0,128.99999999999972,5.0
180.0,135.99999999999991,5.0
190.0,142.99999999999955,5.0
200.0,149.99999999999983,5.0
210.0,156.9999999999992,5.0
220.0,163.99999999999878,5.0
222.22245062308218,165.5557154361575,5.0
230.0,170.99999999999997,5.0
240.0,177.99999999999997,5.0
250.0,184.99999999999997,5.0
260.0,191.99999999999997,5.0
270.0,199.0,5.0
280.0,205.99999999999997,5.0
290.0,212.99999999999997,5.0
300.0,220.0,5.0
310.0,227.00000000000006,5.0
320.0,234.0,5.0
330.0,241.0,5.0
340.0,248.0,5.0
350.0,254.99999999999997,5.0
360.0,262.0,5.0
370.0,269.00000000000006,5.0
380.0,276.0,5.0
390.0,283.0,5.0
400.0,290.0000000000001,5.0
410.0,297.00000000000006,5.0
420.0,303.99999999999994,5.0
430.0,311.0000000000001,5.0
440.0,318.0,5.0
450.0,325.00000000000006,5.0
460.0,332.0,5.0
470.0,338.9999999999999,5.0
480.0,346.0000000000001,5.0
490.0,352.9999999999999,5.0
500.0,360.00000000000017,5.0
510.0,366.9999999999999,5.0
520.0,373.99999999999994,5.0
530.0,381.0000000000001,5.0
540.0,387.9999999999999,5.0
550.0,395.00000000000017,5.0
560.0,401.99999999999994,5.0
570.0,409.00000000000045,5.0
580.0,416.0,5.0
590.0,422.9999999999996,5.0
600.0,430.0000000000001,5.0
610.0,436.99999999999994,5.0
620.0,444.0000000000003,5.0
630.0,451.0000000000003,5.0
640.0,457.9999999999999,5.0
650.0,465.0000000000002,5.0
660.0,471.99999999999983,5.0
670.0,478.9999999999997,5.0
680.0,485.99999999999955,5.0
690.0,492.9999999999998,5.0
700.0,500.00000000000034,5.0
710.0,506.99999999999886,5.0
720.0,513.9999999999994,5.0
730.0,520.9999999999992,5.0
740.0,528.0000000000001,5.0
750.0,534.9999999999993,5.0
760.0,541.9999999999991,5.0
770.0,548.999999999998,5.0
780.0,555.9999999999989,5.0
790.0,563.0000000000002,5.0
800.0,569.9999999999997,5.0
810.0,576.9999999999977,5.0
820.0,583.9999999999982,5.0
830.0,590.9999999999998,5.0
840.0,598.0000000000003,5.0
850.0,604.9999999999977,5.0
860.0,611.999999999997,5.0
870.0,618.9999999999987,5.0
880.0,625.9999999999994,5.0
890.0,632.9999999999976,5.0
900.0,639.9999999999972,5.0
910.0,646.9999999999959,5.0
920.0,653.9999999999977,5.0
930.0,660.9999999999991,5.0
940.0,667.9999999999984,5.0
950.0,674.9999999999972,5.0
960.0,681.9999999999991,5.0
970.0,688.9999999999943,5.0
980.0,696.0000000000007,5.0
990.0,703.0000000000001,5.0
1000.0,709.9999999999999,5.0
