,time,[prey],[predator]
0,0.0,10.0,5.0
1,10.0,0.0051760035484400835,0.3862091586092204
2,20.0,0.0035758866626549447,8.528501788478078
3,30.0,0.049104496826935164,0.15946434420993746
4,40.0,0.0002682502722695434,3.46338208875957
5,50.0,0.5312846674301855,0.07759559372219982
6,60.0,0.0004092818169021427,1.4055691464652942
7,70.0,5.807392994299198,0.23453674560236992
8,80.0,0.002121806743393437,0.5707408084292378
9,90.0,0.07193410316972382,12.515689453620011
10,100.0,0.0180645496119783,0.23304497952711228
11,110.0,0.0004804849341973811,5.1204665145078065
12,120.0,0.18769214105625104,0.10085463445566582
13,130.0,0.00027384346013303005,2.0773388932983385
14,140.0,2.087569565310338,0.0832843255918667
15,150.0,0.0009529564607753737,0.8428531316384431
16,160.0,5.222566224501862,11.390278519966849
17,170.0,0.006907945054667378,0.34269537327973376
18,180.0,0.0018898889650440377,7.558814987135432
19,190.0,0.06737675155900569,0.14228508679479654
20,200.0,0.0002525260223751734,3.066291625513182
21,210.0,0.7372122751885024,0.07419598023591822
22,220.0,0.0004884772183338287,1.243421980691563
23,230.0,7.821314274696007,0.47875437607208915
24,240.0,0.0027935978860469317,0.504606774879192
25,250.0,0.023390146792936932,11.11164182889115
26,260.0,0.024787165383579255,0.20635891385625935
27,270.0,0.0003719033229432298,4.518617973970741
28,280.0,0.2621235109981563,0.09152679712148011
29,290.0,0.00030346639810146874,1.8314684457181034
30,300.0,2.9244592528002107,0.10059018577359399
31,310.0,0.0012245275106817163,0.7424780324002502
32,320.0,1.327127509404928,14.595387961289456
33,330.0,0.009444661754146513,0.3018659121873654
34,340.0,0.001082162756364214,6.645919485409982
35,350.0,0.09459503712519143,0.12638656808894638
36,360.0,0.0002489849421655537,2.6930014965245928
37,370.0,1.0457702522746182,0.07312377480092032
38,380.0,0.0006022095572236787,1.091071439397413
39,390.0,10.071723757450222,1.369583060022789
40,400.0,0.0037786527699510707,0.4425213192455586
41,410.0,0.008475787335858416,9.749952268708073
42,420.0,0.034863643257552104,0.18143743962439557
43,430.0,0.0003058453944714507,3.9539157314043245
44,440.0,0.3748122089609924,0.08354717392835392
45,450.0,0.0003495019257810637,1.6011597985480766
46,460.0,4.173573897821131,0.14138578311650424
47,470.0,0.0016202947025004682,0.6486475730539673
48,480.0,0.27114959409478584,13.933799527920865
49,490.0,0.0132407710822875,0.2638473079476864
50,500.0,0.0006748612995009288,5.795745242858656
51,510.0,0.13591492811067016,0.11195008542613204
52,520.0,0.00025766005752153663,2.3462481313286534
53,530.0,1.5152640810526057,0.07592555990240517
54,540.0,0.0007671588700767485,0.9498272037186672
55,550.0,9.93650717411434,5.110680152780672
56,560.0,0.005245831863822586,0.385118013624888
57,570.0,0.0034812673984452955,8.479080683192935
58,580.0,0.050187019598456645,0.15860508851499336
59,590.0,0.00026840141940849186,3.433033995301531
60,600.0,0.5475626044739943,0.07738731089989982
61,610.0,0.00041865756459794827,1.3891227224276712
62,620.0,6.017485828591788,0.2521235815068665
63,630.0,0.0022059409629670693,0.5624080056153071
64,640.0,0.06100880240741941,12.309397303289918
65,650.0,0.019017627972080453,0.2290347406788828
66,660.0,0.0004610991036369119,5.015562076214206
67,670.0,0.1996271581428585,0.099234549170951
68,680.0,0.0002803070094476099,2.02866329806626
69,690.0,2.2385203705657926,0.08607657386308723
70,700.0,0.0010098994686893023,0.8206557370042059
71,710.0,3.9757922966495602,12.644643137652356
72,720.0,0.007473321160290586,0.33272702001471854
73,730.0,0.0016316884964327515,7.315225438658773
74,740.0,0.07390566041553005,0.13803823299041976
75,750.0,0.00025191158471701727,2.9582610424703986
76,760.0,0.8170557623469279,0.07375145622513773
77,770.0,0.0005220406767293323,1.1959697622444718
78,780.0,8.563426076370476,0.6464970618915409
79,790.0,0.003092206730464168,0.48392635498584735
80,800.0,0.016339048726764227,10.6318187427622
81,810.0,0.027986534515390758,0.19752619452906003
82,820.0,0.00034571072216892296,4.306990137118917
83,830.0,0.29977469312710137,0.08848378940371328
84,840.0,0.00032080693418825104,1.740612532872789
85,850.0,3.3666035718016403,0.11301491523818454
86,860.0,0.0013744188003640611,0.7036575262028419
87,870.0,0.6814634974728608,14.561808146937366
88,880.0,0.010923416910020627,0.2854230714310769
89,890.0,0.000873946881440401,6.262586962300065
90,900.0,0.11130575057520069,0.1198513925667102
91,910.0,0.0002528260637663831,2.5302731233931
92,920.0,1.2438102776619064,0.07398362374783135
93,930.0,0.0006771466822889104,1.0221516225463063
94,940.0,10.653528401200196,2.5984241708097255
95,950.0,0.004456777471608484,0.41345617903238735
96,960.0,0.005310429328436624,9.08462461414851
97,970.0,0.04214737390440133,0.16945637043758208
98,980.0,0.00028457093033676454,3.6717869289493996
99,990.0,0.4596148600897841,0.08009101894104463
100,1000.0,0.00038601900203500935,1.4826939978277964
